club_id,season,transfer_spending
180,2020,25300000.0
180,2021,55900000.0
180,2022,140210000.0
184,2015,0.0
184,2019,0.0
184,2021,0.0
184,2022,0.0
187,2016,0.0
187,2017,0.0
187,2018,0.0
187,2019,0.0
187,2020,0.0
187,2021,0.0
187,2022,0.0
189,2013,0.0
189,2014,0.0
189,2016,5100000.0
189,2017,2500000.0
189,2018,3200000.0
189,2019,4430000.0
189,2020,0.0
189,2021,0.0
189,2022,0.0
190,2013,3500000.0
190,2014,3800000.0
190,2015,2200000.0
190,2016,3900000.0
190,2017,5000000.0
190,2018,2475000.0
190,2019,13600000.0
190,2020,1000000.0
190,2021,15100000.0
190,2022,17100000.0
192,2015,0.0
192,2016,0.0
192,2017,0.0
192,2018,0.0
192,2019,0.0
192,2020,0.0
192,2021,0.0
192,2022,0.0
195,2014,0.0
195,2015,350000.0
195,2016,500000.0
195,2018,0.0
195,2019,560000.0
195,2020,0.0
195,2021,0.0
195,2022,1200000.0
197,2015,300000.0
197,2016,1000000.0
197,2017,2150000.0
197,2018,2830000.0
197,2019,310000.0
197,2020,1000000.0
197,2021,3700000.0
197,2022,0.0
199,2013,0.0
199,2014,0.0
199,2015,4650000.0
199,2016,0.0
199,2017,0.0
199,2018,5920000.0
199,2019,0.0
199,2020,0.0
199,2021,0.0
199,2022,550000.0
200,2014,0.0
200,2015,750000.0
200,2016,200000.0
200,2017,950000.0
200,2018,700000.0
200,2019,900000.0
200,2020,0.0
200,2021,1500000.0
200,2022,1400000.0
202,2013,0.0
202,2014,800000.0
202,2015,1400000.0
202,2016,0.0
202,2017,0.0
202,2018,2900000.0
202,2019,700000.0
202,2020,2075000.0
202,2021,1275000.0
202,2022,2330000.0
204,2013,0.0
204,2014,0.0
204,2017,0.0
206,2013,350000.0
206,2014,720000.0
206,2015,350000.0
206,2016,770000.0
206,2017,0.0
206,2018,5120000.0
206,2019,35000.0
206,2020,67000.0
206,2021,5648000.0
206,2022,13100000.0
208,2016,0.0
208,2018,500000.0
208,2019,0.0
208,2020,0.0
208,2021,0.0
208,2022,200000.0
209,2015,2000000.0
209,2017,5600000.0
209,2018,0.0
209,2019,4500000.0
209,2020,0.0
209,2021,0.0
209,2022,5900000.0
210,2013,0.0
210,2014,0.0
210,2015,0.0
210,2016,0.0
210,2017,0.0
210,2018,145000.0
210,2019,0.0
210,2021,0.0
210,2022,0.0
218,2018,350000.0
218,2021,409000.0
221,2014,0.0
221,2015,0.0
221,2016,0.0
221,2018,0.0
221,2019,0.0
221,2020,2800000.0
221,2021,0.0
221,2022,5000000.0
223,2017,0.0
223,2020,0.0
223,2021,0.0
223,2022,0.0
225,2015,0.0
232,2013,8000000.0
232,2014,11500000.0
232,2015,6500000.0
232,2016,8850000.0
232,2017,0.0
232,2018,8600000.0
232,2019,41000000.0
232,2020,13000000.0
232,2021,21260000.0
232,2022,16200000.0
234,2014,4500000.0
234,2015,6500000.0
234,2016,0.0
234,2017,25300000.0
234,2018,2000000.0
234,2019,11000000.0
234,2020,440000.0
234,2021,8500000.0
234,2022,35975000.0
235,2015,0.0
235,2017,0.0
235,2018,0.0
235,2019,100000.0
235,2020,0.0
235,2021,55000.0
235,2022,0.0
237,2013,0.0
237,2014,0.0
237,2015,0.0
237,2016,0.0
237,2017,0.0
237,2018,0.0
237,2019,3700000.0
237,2020,1700000.0
237,2021,9000000.0
237,2022,13020000.0
238,2013,0.0
238,2014,350000.0
238,2015,400000.0
238,2016,0.0
238,2017,0.0
238,2018,1000000.0
238,2019,750000.0
238,2020,800000.0
238,2021,1100000.0
238,2022,1200000.0
239,2014,270000.0
239,2015,0.0
239,2017,10000.0
239,2018,0.0
239,2019,0.0
239,2020,0.0
239,2021,300000.0
239,2022,0.0
242,2020,0.0
242,2022,0.0
244,2013,27500000.0
244,2014,6000000.0
244,2015,9500000.0
244,2016,20000000.0
244,2017,21000000.0
244,2018,66000000.0
244,2019,13000000.0
244,2020,8000000.0
244,2021,49900000.0
244,2022,119550000.0
245,2014,0.0
245,2017,0.0
245,2018,200000.0
245,2019,150000.0
245,2020,0.0
245,2021,0.0
245,2022,0.0
247,2018,0.0
247,2020,0.0
250,2014,0.0
250,2015,190000.0
250,2017,67000.0
250,2021,0.0
252,2013,4000000.0
252,2014,400000.0
252,2015,3000000.0
252,2016,12500000.0
252,2017,600000.0
252,2018,30600000.0
252,2019,33000000.0
252,2020,36300000.0
252,2021,36500000.0
252,2022,8500000.0
253,2014,0.0
253,2018,0.0
253,2021,0.0
254,2013,100000.0
254,2014,0.0
254,2016,0.0
254,2017,0.0
254,2018,0.0
254,2019,0.0
254,2020,0.0
254,2021,0.0
254,2022,0.0
255,2013,300000.0
255,2015,0.0
255,2016,70000.0
255,2017,100000.0
255,2018,1075000.0
255,2019,2300000.0
255,2020,900000.0
255,2021,1500000.0
255,2022,1950000.0
256,2017,0.0
256,2019,0.0
256,2020,0.0
256,2021,0.0
257,2014,0.0
257,2015,0.0
257,2016,0.0
257,2017,1000000.0
257,2018,0.0
257,2019,0.0
257,2020,0.0
257,2021,500000.0
257,2022,500000.0
260,2016,0.0
260,2017,1100000.0
260,2018,1800000.0
260,2019,450000.0
260,2020,0.0
260,2021,1400000.0
260,2022,500000.0
262,2014,0.0
265,2013,60000.0
265,2014,0.0
265,2015,1450000.0
265,2016,500000.0
265,2017,300000.0
265,2018,0.0
265,2019,0.0
265,2020,4500000.0
265,2021,1750000.0
265,2022,8920000.0
266,2014,200000.0
266,2015,0.0
266,2017,0.0
266,2019,0.0
266,2020,0.0
266,2021,0.0
267,2017,0.0
267,2018,0.0
267,2019,0.0
267,2021,0.0
269,2015,0.0
269,2016,0.0
269,2017,0.0
269,2018,1800000.0
269,2019,850000.0
269,2020,0.0
269,2021,1250000.0
269,2022,250000.0
271,2019,0.0
271,2020,0.0
271,2021,0.0
272,2015,0.0
272,2016,1000000.0
272,2017,0.0
272,2018,300000.0
272,2019,0.0
272,2020,0.0
272,2021,100000.0
272,2022,500000.0
273,2013,0.0
273,2014,1000000.0
273,2015,1000000.0
273,2016,2000000.0
273,2017,43900000.0
273,2018,14000000.0
273,2019,49000000.0
273,2020,67000000.0
273,2021,81740000.0
273,2022,82500000.0
275,2018,0.0
276,2013,1600000.0
276,2014,1300000.0
276,2015,1000000.0
276,2016,500000.0
276,2017,0.0
276,2018,0.0
276,2019,13263000.0
276,2020,10150000.0
276,2021,38800000.0
276,2022,43710000.0
279,2014,0.0
279,2015,360000.0
279,2016,0.0
279,2017,0.0
279,2018,600000.0
279,2019,1000000.0
279,2020,4600000.0
279,2021,1650000.0
279,2022,2900000.0
281,2013,71000000.0
281,2014,60000000.0
281,2015,189450000.0
281,2016,198250000.0
281,2017,313700000.0
281,2018,9900000.0
281,2019,165820000.0
281,2020,160900000.0
281,2021,138900000.0
281,2022,155000000.0
282,2015,0.0
282,2016,0.0
282,2017,0.0
282,2018,0.0
282,2019,0.0
282,2020,0.0
282,2021,0.0
288,2017,110000.0
288,2018,0.0
288,2020,0.0
288,2021,0.0
288,2022,1400000.0
289,2013,7150000.0
289,2014,1900000.0
289,2015,14600000.0
289,2016,11000000.0
289,2017,560000.0
289,2018,225000.0
